JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
32,1.40311,0.93824,2.35243,0.26083,0.10768,0.06909,0.00145,0.09903,26.59856,1.9882,52.72255,53.71665,2.5,139.33151
33,1.59399,1.05929,2.32249,0.34819,0.15337,0.03851,0.00146,2.46337,18.75654,1.89006,36.67196,37.61699,2.5,143.00994
34,1.01229,0.96826,1.97428,0.32,0.1157,0.05174,0.00144,4.18897,21.76918,1.70318,43.08014,43.93173,2.5,144.39657
35,1.3226,1.02834,2.22232,0.2676,0.13236,0.0331,0.00142,0.03959,24.17736,1.87784,47.85065,48.78957,2.5,127.21854
36,1.58494,1.0814,2.47002,0.27231,0.11028,0.04685,0.00142,0.10372,23.05673,1.94056,45.47532,46.4456,2.5,111.33665
37,1.31946,0.97947,1.1973,0.2774,0.17726,0.06639,0.00134,223.18252,15.05581,2.15775,28.76329,29.84217,2.5,111.5432
38,1.27052,0.99952,2.01919,0.29729,0.12778,0.08441,0.00141,0.12894,26.05569,1.95488,51.64561,52.62305,2.5,107.86338
39,1.22333,1.02402,1.64706,0.33631,0.19712,0.08493,0.0013,659.74211,6.64126,2.04242,11.52736,12.54857,2.5,109.53461
40,1.00659,1.02318,2.4666,0.32983,0.19325,0.03803,0.0013,0.03706,20.42807,1.77802,40.23604,41.12505,2.5,109.2694
41,1.5571,0.9265,2.48639,0.37311,0.14055,0.06169,0.00141,0.07693,28.11447,1.83214,56.01758,56.93365,2.5,109.88273
42,1.02644,1.03761,2.40138,0.37076,0.16188,0.06409,0.00147,0.08729,20.22503,1.76992,39.82125,40.70621,2.5,115.67786
